ED_CODE,JOIN_KEY,SAS04_BIRTH_FE
H1981F00018207,H1981F00018207,0
H1981F00018208,H1981F00018208,0
H1981F00018209,H1981F00018209,0
H1981F00018210,H1981F00018210,0
H1981F00018211,H1981F00018211,0
H1981F00018212,H1981F00018212,0
H1981F00018213,H1981F00018213,0
H1981F00018214,H1981F00018214,0
H1981F00018215,H1981F00018215,0
H1981F00018216,H1981F00018216,0
H1981F00018217,H1981F00018217,0
H1981F00018218,H1981F00018218,0
H1981F00018219,H1981F00018219,0
H1981F00018220,H1981F00018220,0
H1981F00018221,H1981F00018221,0
H1981F00018222,H1981F00018222,0
H1981F00018223,H1981F00018223,0
H1981F00018224,H1981F00018224,0
H1981F00018225,H1981F00018225,0
H1981F00018226,H1981F00018226,0
H1981F00018227,H1981F00018227,0
H1981F00018228,H1981F00018228,0
H1981F00018229,H1981F00018229,0
H1981F00018230,H1981F00018230,0
H1981F00018231,H1981F00018231,0
H1981F00018232,H1981F00018232,0
H1981F00018233,H1981F00018233,0
H1981F00018234,H1981F00018234,0
H1981F00018235,H1981F00018235,0
H1981F00018236,H1981F00018236,0
H1981F00018237,H1981F00018237,0
H1981F00018238,H1981F00018238,0
H1981F00018239,H1981F00018239,0
H1981F00018240,H1981F00018240,0
H1981F00018241,H1981F00018241,0
H1981F00018242,H1981F00018242,0
H1981F00018243,H1981F00018243,0
H1981F00018244,H1981F00018244,0
H1981F00018245,H1981F00018245,0
H1981F00018246,H1981F00018246,0
H1981F00018247,H1981F00018247,0
H1981F00018248,H1981F00018248,0
H1981F00018249,H1981F00018249,0
H1981F00018250,H1981F00018250,0
H1981F00018251,H1981F00018251,0
H1981F00018252,H1981F00018252,0
H1981F00018253,H1981F00018253,0
H1981F00018254,H1981F00018254,0
H1981F00018255,H1981F00018255,0
H1981F00018256,H1981F00018256,0
H1981F00018257,H1981F00018257,0
H1981F00018258,H1981F00018258,0
H1981F00018259,H1981F00018259,0
H1981F00018260,H1981F00018260,0
H1981F00018261,H1981F00018261,0
H1981F00018262,H1981F00018262,0
H1981F00018263,H1981F00018263,0
H1981F00018264,H1981F00018264,0
H1981F00018265,H1981F00018265,0
H1981F00018266,H1981F00018266,0
H1981F00018267,H1981F00018267,0
H1981F00018268,H1981F00018268,0
H1981F00018269,H1981F00018269,0
H1981F00018270,H1981F00018270,0
H1981F00018271,H1981F00018271,0
H1981F00018272,H1981F00018272,0
H1981F00018273,H1981F00018273,0
H1981F00018274,H1981F00018274,0
H1981F00018275,H1981F00018275,0
H1981F00018276,H1981F00018276,0
H1981F00018277,H1981F00018277,0
H1981F00018278,H1981F00018278,0
H1981F00018279,H1981F00018279,0
H1981F00018280,H1981F00018280,0
H1981F00018281,H1981F00018281,0
H1981F00018282,H1981F00018282,0
H1981F00018283,H1981F00018283,0
H1981F00018284,H1981F00018284,0
H1981F00018285,H1981F00018285,0
H1981F00018286,H1981F00018286,0
H1981F00018287,H1981F00018287,0
H1981F00018288,H1981F00018288,0
H1981F00018289,H1981F00018289,0
H1981F00018290,H1981F00018290,0
H1981F00018291,H1981F00018291,0
H1981F00018292,H1981F00018292,0
H1981F00018293,H1981F00018293,0
H1981F00018294,H1981F00018294,0
H1981F00018295,H1981F00018295,0
H1981F00018296,H1981F00018296,0
H1981F00018297,H1981F00018297,0
H1981F00018298,H1981F00018298,0
H1981F00018299,H1981F00018299,0
H1981F00018300,H1981F00018300,0
H1981F00018301,H1981F00018301,0
H1981F00018302,H1981F00018302,0
H1981F00018303,H1981F00018303,0
H1981F00018304,H1981F00018304,0
H1981F00018305,H1981F00018305,0
H1981F00018306,H1981F00018306,0
H1981F00018307,H1981F00018307,0
H1981F00018308,H1981F00018308,0
H1981F00018309,H1981F00018309,0
H1981F00018310,H1981F00018310,0
H1981F00018311,H1981F00018311,0
H1981F00018312,H1981F00018312,0
H1981F00018313,H1981F00018313,0
H1981F00018314,H1981F00018314,0
H1981F00018315,H1981F00018315,0
H1981F00018316,H1981F00018316,0
H1981F00018317,H1981F00018317,0
H1981F00018318,H1981F00018318,0
H1981F00018319,H1981F00018319,0
H1981F00018320,H1981F00018320,0
H1981F00018321,H1981F00018321,0
H1981F00018322,H1981F00018322,0
H1981F00018323,H1981F00018323,0
H1981F00018324,H1981F00018324,0
H1981F00018325,H1981F00018325,0
H1981F00018326,H1981F00018326,0
H1981F00018327,H1981F00018327,0
H1981F00018328,H1981F00018328,0
H1981F00018329,H1981F00018329,0
H1981F00018330,H1981F00018330,0
H1981F00018331,H1981F00018331,0
H1981F00018332,H1981F00018332,0
H1981F00018333,H1981F00018333,0
H1981F00018334,H1981F00018334,0
H1981F00018335,H1981F00018335,0
H1981F00018336,H1981F00018336,0
H1981F00018337,H1981F00018337,0
H1981F00018338,H1981F00018338,0
H1981F00018339,H1981F00018339,0
H1981F00018340,H1981F00018340,0
H1981F00018341,H1981F00018341,0
H1981F00018342,H1981F00018342,0
H1981F00018343,H1981F00018343,0
H1981F00018344,H1981F00018344,0
H1981F00018345,H1981F00018345,0
H1981F00018346,H1981F00018346,0
H1981F00018347,H1981F00018347,0
H1981F00018348,H1981F00018348,0
H1981F00018349,H1981F00018349,0
H1981F00018350,H1981F00018350,0
H1981F00018351,H1981F00018351,0
H1981F00018352,H1981F00018352,0
H1981F00018353,H1981F00018353,0
H1981F00018354,H1981F00018354,0
H1981F00018355,H1981F00018355,0
H1981F00018356,H1981F00018356,0
H1981F00018357,H1981F00018357,0
H1981F00018358,H1981F00018358,0
H1981F00018359,H1981F00018359,0
H1981F00018360,H1981F00018360,0
H1981F00018361,H1981F00018361,0
H1981F00018362,H1981F00018362,0
H1981F00018363,H1981F00018363,0
H1981F00018364,H1981F00018364,0
H1981F00018365,H1981F00018365,0
H1981F00018366,H1981F00018366,0
H1981F00018367,H1981F00018367,0
H1981F00018368,H1981F00018368,0
H1981F00018369,H1981F00018369,0
H1981F00018370,H1981F00018370,0
H1981F00018371,H1981F00018371,0
H1981F00018372,H1981F00018372,0
H1981F00018373,H1981F00018373,0
H1981F00018374,H1981F00018374,0
H1981F00018375,H1981F00018375,0
H1981F00018376,H1981F00018376,0
H1981F00018377,H1981F00018377,0
H1981F00018378,H1981F00018378,0
H1981F00018379,H1981F00018379,0
H1981F00018380,H1981F00018380,0
H1981F00018381,H1981F00018381,0
H1981F00018382,H1981F00018382,0
H1981F00018383,H1981F00018383,0
H1981F00018384,H1981F00018384,0
H1981F00018385,H1981F00018385,0
H1981F00018386,H1981F00018386,0
H1981F00018387,H1981F00018387,0
H1981F00018388,H1981F00018388,0
H1981F00018389,H1981F00018389,0
H1981F00018390,H1981F00018390,0
H1981F00018391,H1981F00018391,0
H1981F00018392,H1981F00018392,0
H1981F00018393,H1981F00018393,0
H1981F00018394,H1981F00018394,0
H1981F00018395,H1981F00018395,0
H1981F00018396,H1981F00018396,0
H1981F00018397,H1981F00018397,0
H1981F00018398,H1981F00018398,0
H1981F00018399,H1981F00018399,0
H1981F00018400,H1981F00018400,0
H1981F00018401,H1981F00018401,0
H1981F00018402,H1981F00018402,0
H1981F00018403,H1981F00018403,0
H1981F00018404,H1981F00018404,0
H1981F00018405,H1981F00018405,0
H1981F00018406,H1981F00018406,0
H1981F00018407,H1981F00018407,0
H1981F00018408,H1981F00018408,0
H1981F00018409,H1981F00018409,0
H1981F00018410,H1981F00018410,0
H1981F00018411,H1981F00018411,0
H1981F00018412,H1981F00018412,0
H1981F00018413,H1981F00018413,0
H1981F00018414,H1981F00018414,0
H1981F00018415,H1981F00018415,0
H1981F00018416,H1981F00018416,0
H1981F00018417,H1981F00018417,0
H1981F00018418,H1981F00018418,0
H1981F00018419,H1981F00018419,0
H1981F00018420,H1981F00018420,0
H1981F00018421,H1981F00018421,0
H1981F00018422,H1981F00018422,0
H1981F00018423,H1981F00018423,0
H1981F00018424,H1981F00018424,0
H1981F00018425,H1981F00018425,0
H1981F00018426,H1981F00018426,0
H1981F00018427,H1981F00018427,0
H1981F00018428,H1981F00018428,0
H1981F00018429,H1981F00018429,0
H1981F00018430,H1981F00018430,0
H1981F00018431,H1981F00018431,0
H1981F00018432,H1981F00018432,0
H1981F00018433,H1981F00018433,0
H1981F00018434,H1981F00018434,0
H1981F00018435,H1981F00018435,0
H1981F00018436,H1981F00018436,0
H1981F00018437,H1981F00018437,0
H1981F00018438,H1981F00018438,0
H1981F00018439,H1981F00018439,0
H1981F00018440,H1981F00018440,0
H1981F00018441,H1981F00018441,0
H1981F00018442,H1981F00018442,0
H1981F00018443,H1981F00018443,0
H1981F00018444,H1981F00018444,0
H1981F00018445,H1981F00018445,0
H1981F00018446,H1981F00018446,0
H1981F00018447,H1981F00018447,0
H1981F00018448,H1981F00018448,0
H1981F00018449,H1981F00018449,0
H1981F00018450,H1981F00018450,0
H1981F00018451,H1981F00018451,0
H1981F00018452,H1981F00018452,0
H1981F00018453,H1981F00018453,0
H1981F00018454,H1981F00018454,0
H1981F00018455,H1981F00018455,0
H1981F00018456,H1981F00018456,0
H1981F00018457,H1981F00018457,0
H1981F00018458,H1981F00018458,0
H1981F00018459,H1981F00018459,0
H1981F00018460,H1981F00018460,0
H1981F00018461,H1981F00018461,0
H1981F00018462,H1981F00018462,0
H1981F00018463,H1981F00018463,0
H1981F00018464,H1981F00018464,0
H1981F00018465,H1981F00018465,0
H1981F00018466,H1981F00018466,0
H1981F00018467,H1981F00018467,0
H1981F00018468,H1981F00018468,0
H1981F00018469,H1981F00018469,0
H1981F00018470,H1981F00018470,0
H1981F00018471,H1981F00018471,0
H1981F00018472,H1981F00018472,0
H1981F00018473,H1981F00018473,0
H1981F00018474,H1981F00018474,0
H1981F00018475,H1981F00018475,0
H1981F00018476,H1981F00018476,0
H1981F00018477,H1981F00018477,0
H1981F00018478,H1981F00018478,0
H1981F00018479,H1981F00018479,0
H1981F00018480,H1981F00018480,0
H1981F00018481,H1981F00018481,0
H1981F00018482,H1981F00018482,0
H1981F00018483,H1981F00018483,0
