zoneid,TOTAL_RES_1981,PCT_MALE_1981,PCT_FEMALE_1981,CHINESE_BORN_1981,CHINESE_BORN_MALE_1981,CHINESE_BORN_FEMALE_1981,PCT_CHINESE_BORN_1981,ALL_EMPLOYED_1981,EMP_RATE_1981,TOTAL_HH_1981,OWNER_OCC_HH_1981,PCT_OWNER_OCC_1981,SOCIAL_RENT_HH_1981,PCT_SOCIAL_RENT_1981,NO_CAR_HH_1981,PCT_NO_CAR_1981,CAR_OWNERSHIP_INDEX_1981,OVERCROWD_GT1P5_1981,PCT_OVERCROWD_GT1P5_1981,OVERCROWD_1TO1P5_1981,PCT_OVERCROWD_1TO1P5_1981,NO_BATH_OR_WC_1981,PCT_NO_BATH_OR_WC_1981,NO_INSIDE_BATH_OR_WC_1981,PCT_NO_INSIDE_BATH_OR_WC_1981
03BNAH02  ,470.0,47.23404255319149,52.76595744680851,0.0,0.0,0.0,0.0,83.0,17.659574468085108,184.0,2.0,1.0869565217391304,0.0,0.0,129.0,70.1086956521739,29.891304347826093,2.0,1.0869565217391304,9.0,4.891304347826087,0.0,0.0,0.0,0.0
03BNAH03  ,508.0,46.653543307086615,53.34645669291339,0.0,0.0,0.0,0.0,109.0,21.456692913385826,214.0,14.0,6.5420560747663545,0.0,0.0,116.0,54.20560747663551,45.79439252336449,0.0,0.0,3.0,1.4018691588785046,0.0,0.0,0.0,0.0
03BNAH04  ,573.0,47.81849912739965,52.18150087260035,0.0,0.0,0.0,0.0,152.0,26.527050610820247,215.0,26.0,12.093023255813954,0.0,0.0,113.0,52.55813953488372,47.44186046511628,1.0,0.46511627906976744,12.0,5.5813953488372094,0.0,0.0,0.0,0.0
03BNAH05  ,438.0,42.465753424657535,57.534246575342465,0.0,0.0,0.0,0.0,71.0,16.210045662100455,200.0,33.0,16.5,0.0,0.0,133.0,66.5,33.5,2.0,1.0,3.0,1.5,0.0,0.0,0.0,0.0
03BNAH06  ,522.0,46.16858237547893,53.83141762452107,2.0,0.0,2.0,0.38314176245210724,129.0,24.71264367816092,196.0,64.0,32.6530612244898,0.0,0.0,95.0,48.46938775510204,51.53061224489796,0.0,0.0,2.0,1.0204081632653061,0.0,0.0,0.0,0.0
03BNAH07  ,554.0,45.84837545126354,54.151624548736464,0.0,0.0,0.0,0.0,133.0,24.0072202166065,215.0,7.0,3.255813953488372,0.0,0.0,137.0,63.72093023255814,36.27906976744186,0.0,0.0,9.0,4.186046511627907,0.0,0.0,0.0,0.0
03BNAH08  ,434.0,46.08294930875576,53.91705069124424,0.0,0.0,0.0,0.0,109.0,25.115207373271893,184.0,10.0,5.434782608695652,0.0,0.0,113.0,61.41304347826087,38.58695652173913,0.0,0.0,6.0,3.260869565217391,0.0,0.0,0.0,0.0
03BNAH09  ,517.0,47.582205029013544,52.41779497098646,0.0,0.0,0.0,0.0,105.0,20.309477756286267,186.0,2.0,1.0752688172043012,0.0,0.0,116.0,62.365591397849464,37.634408602150536,1.0,0.5376344086021506,12.0,6.451612903225806,0.0,0.0,0.0,0.0
03BNAH10  ,524.0,47.900763358778626,52.09923664122137,5.0,1.0,4.0,0.9541984732824428,84.0,16.030534351145036,175.0,0.0,0.0,0.0,0.0,124.0,70.85714285714285,29.142857142857153,5.0,2.857142857142857,12.0,6.857142857142858,0.0,0.0,0.0,0.0
03BNAH11  ,424.0,50.70754716981132,49.29245283018868,1.0,1.0,0.0,0.2358490566037736,90.0,21.22641509433962,155.0,7.0,4.516129032258064,0.0,0.0,106.0,68.38709677419355,31.61290322580645,1.0,0.6451612903225806,5.0,3.225806451612903,0.0,0.0,0.0,0.0
03BNAH12  ,493.0,46.24746450304259,53.7525354969574,0.0,0.0,0.0,0.0,101.0,20.486815415821503,185.0,7.0,3.783783783783784,0.0,0.0,130.0,70.27027027027027,29.729729729729726,0.0,0.0,13.0,7.027027027027027,0.0,0.0,0.0,0.0
03BNAH13  ,484.0,47.107438016528924,52.892561983471076,0.0,0.0,0.0,0.0,109.0,22.520661157024794,194.0,44.0,22.68041237113402,0.0,0.0,104.0,53.608247422680414,46.391752577319586,0.0,0.0,5.0,2.5773195876288657,0.0,0.0,0.0,0.0
03BNAH14  ,455.0,45.714285714285715,54.285714285714285,0.0,0.0,0.0,0.0,89.0,19.560439560439562,171.0,4.0,2.3391812865497075,0.0,0.0,119.0,69.5906432748538,30.409356725146196,3.0,1.7543859649122806,8.0,4.678362573099415,0.0,0.0,0.0,0.0
03BNAH15  ,586.0,47.098976109215016,52.901023890784984,0.0,0.0,0.0,0.0,127.0,21.672354948805463,202.0,38.0,18.81188118811881,0.0,0.0,104.0,51.48514851485149,48.51485148514851,1.0,0.49504950495049505,11.0,5.445544554455446,0.0,0.0,0.0,0.0
03BNAH16  ,526.0,51.14068441064639,48.85931558935361,0.0,0.0,0.0,0.0,156.0,29.65779467680608,183.0,183.0,100.0,0.0,0.0,21.0,11.475409836065573,88.52459016393442,0.0,0.0,1.0,0.546448087431694,0.0,0.0,0.0,0.0
03BNAH17  ,622.0,46.30225080385852,53.69774919614147,0.0,0.0,0.0,0.0,166.0,26.688102893890676,219.0,172.0,78.53881278538812,0.0,0.0,31.0,14.15525114155251,85.84474885844749,0.0,0.0,2.0,0.91324200913242,0.0,0.0,0.0,0.0
03BNAH18  ,615.0,48.61788617886179,51.38211382113821,2.0,1.0,1.0,0.3252032520325203,176.0,28.61788617886179,217.0,105.0,48.38709677419355,0.0,0.0,71.0,32.71889400921659,67.2811059907834,2.0,0.9216589861751152,3.0,1.3824884792626728,1.0,0.4608294930875576,0.0,0.0
03BNAH19  ,596.0,48.322147651006716,51.67785234899329,0.0,0.0,0.0,0.0,140.0,23.48993288590604,204.0,9.0,4.411764705882353,0.0,0.0,121.0,59.31372549019608,40.68627450980392,0.0,0.0,19.0,9.313725490196079,0.0,0.0,1.0,0.49019607843137253
03BNAH20  ,495.0,49.292929292929294,50.70707070707071,0.0,0.0,0.0,0.0,147.0,29.6969696969697,179.0,161.0,89.94413407821229,0.0,0.0,21.0,11.731843575418994,88.26815642458101,2.0,1.1173184357541899,1.0,0.5586592178770949,0.0,0.0,0.0,0.0
03BNAH21  ,635.0,48.661417322834644,51.338582677165356,4.0,3.0,1.0,0.6299212598425197,185.0,29.133858267716533,236.0,203.0,86.01694915254238,0.0,0.0,32.0,13.559322033898304,86.4406779661017,0.0,0.0,2.0,0.847457627118644,2.0,0.847457627118644,0.0,0.0
03BNAH22  ,510.0,45.68627450980392,54.31372549019608,0.0,0.0,0.0,0.0,109.0,21.372549019607842,196.0,16.0,8.16326530612245,0.0,0.0,120.0,61.224489795918366,38.775510204081634,2.0,1.0204081632653061,5.0,2.5510204081632653,1.0,0.5102040816326531,0.0,0.0
03BNAH23  ,548.0,47.627737226277375,52.37226277372263,1.0,0.0,1.0,0.18248175182481752,135.0,24.635036496350367,197.0,87.0,44.16243654822335,0.0,0.0,85.0,43.14720812182741,56.85279187817259,0.0,0.0,7.0,3.5532994923857872,0.0,0.0,0.0,0.0
03BNAH24  ,522.0,46.934865900383144,53.06513409961686,0.0,0.0,0.0,0.0,136.0,26.053639846743295,205.0,10.0,4.878048780487805,0.0,0.0,116.0,56.58536585365853,43.41463414634147,1.0,0.4878048780487805,7.0,3.414634146341464,0.0,0.0,0.0,0.0
03BNAH25  ,471.0,48.832271762208066,51.167728237791934,0.0,0.0,0.0,0.0,115.0,24.416135881104033,180.0,10.0,5.555555555555555,0.0,0.0,109.0,60.55555555555555,39.44444444444445,1.0,0.5555555555555556,5.0,2.7777777777777777,0.0,0.0,0.0,0.0
03BNAH26  ,480.0,47.708333333333336,52.29166666666667,1.0,0.0,1.0,0.20833333333333334,112.0,23.333333333333332,197.0,51.0,25.888324873096447,0.0,0.0,105.0,53.299492385786806,46.700507614213194,1.0,0.5076142131979695,5.0,2.5380710659898478,1.0,0.5076142131979695,0.0,0.0
03BNAH27  ,612.0,45.42483660130719,54.57516339869281,0.0,0.0,0.0,0.0,133.0,21.73202614379085,227.0,11.0,4.845814977973569,0.0,0.0,142.0,62.55506607929515,37.44493392070485,0.0,0.0,10.0,4.405286343612335,1.0,0.4405286343612335,0.0,0.0
03BNAH28  ,645.0,47.44186046511628,52.55813953488372,9.0,6.0,3.0,1.3953488372093024,181.0,28.06201550387597,214.0,143.0,66.82242990654206,0.0,0.0,59.0,27.570093457943923,72.42990654205607,0.0,0.0,2.0,0.9345794392523363,0.0,0.0,0.0,0.0
03BNAH29  ,403.0,38.21339950372209,61.78660049627791,0.0,0.0,0.0,0.0,60.0,14.888337468982629,225.0,1.0,0.4444444444444444,0.0,0.0,181.0,80.44444444444444,19.555555555555557,0.0,0.0,3.0,1.3333333333333335,0.0,0.0,0.0,0.0
03BNAH30  ,439.0,42.14123006833713,57.85876993166287,0.0,0.0,0.0,0.0,82.0,18.678815489749432,156.0,42.0,26.923076923076923,0.0,0.0,87.0,55.769230769230774,44.230769230769226,0.0,0.0,6.0,3.8461538461538463,0.0,0.0,0.0,0.0
03BNAJ01  ,500.0,50.8,49.2,2.0,1.0,1.0,0.4,125.0,25.0,181.0,88.0,48.61878453038674,0.0,0.0,103.0,56.9060773480663,43.0939226519337,1.0,0.5524861878453038,8.0,4.41988950276243,0.0,0.0,0.0,0.0
03BNAJ02  ,524.0,46.75572519083969,53.24427480916031,0.0,0.0,0.0,0.0,103.0,19.65648854961832,198.0,33.0,16.666666666666664,0.0,0.0,132.0,66.66666666666666,33.33333333333334,2.0,1.0101010101010102,9.0,4.545454545454546,6.0,3.0303030303030303,0.0,0.0
03BNAJ03  ,452.0,45.79646017699115,54.20353982300885,4.0,1.0,3.0,0.8849557522123894,95.0,21.01769911504425,166.0,65.0,39.1566265060241,0.0,0.0,89.0,53.6144578313253,46.3855421686747,2.0,1.2048192771084338,7.0,4.216867469879518,0.0,0.0,0.0,0.0
03BNAJ04  ,512.0,44.7265625,55.2734375,0.0,0.0,0.0,0.0,136.0,26.5625,195.0,179.0,91.7948717948718,0.0,0.0,71.0,36.41025641025641,63.58974358974359,0.0,0.0,3.0,1.5384615384615385,0.0,0.0,0.0,0.0
03BNAJ05  ,440.0,47.72727272727273,52.27272727272727,0.0,0.0,0.0,0.0,117.0,26.590909090909093,154.0,112.0,72.72727272727273,0.0,0.0,55.0,35.714285714285715,64.28571428571428,3.0,1.948051948051948,3.0,1.948051948051948,0.0,0.0,0.0,0.0
03BNAJ06  ,521.0,48.17658349328215,51.82341650671785,0.0,0.0,0.0,0.0,144.0,27.63915547024952,181.0,160.0,88.39779005524862,0.0,0.0,69.0,38.12154696132597,61.87845303867403,1.0,0.5524861878453038,8.0,4.41988950276243,0.0,0.0,0.0,0.0
03BNAJ07  ,336.0,45.535714285714285,54.46428571428571,1.0,1.0,0.0,0.2976190476190476,89.0,26.488095238095237,144.0,116.0,80.55555555555556,0.0,0.0,65.0,45.13888888888889,54.86111111111111,1.0,0.6944444444444444,5.0,3.4722222222222223,1.0,0.6944444444444444,0.0,0.0
03BNAJ08  ,415.0,48.91566265060241,51.08433734939759,7.0,3.0,4.0,1.6867469879518073,109.0,26.265060240963855,178.0,110.0,61.79775280898876,0.0,0.0,89.0,50.0,50.0,1.0,0.5617977528089888,4.0,2.247191011235955,2.0,1.1235955056179776,0.0,0.0
03BNAJ09  ,544.0,47.05882352941176,52.94117647058824,0.0,0.0,0.0,0.0,138.0,25.36764705882353,186.0,178.0,95.6989247311828,0.0,0.0,50.0,26.881720430107524,73.11827956989248,0.0,0.0,4.0,2.1505376344086025,0.0,0.0,0.0,0.0
03BNAJ10  ,557.0,47.217235188509875,52.782764811490125,0.0,0.0,0.0,0.0,138.0,24.775583482944345,180.0,174.0,96.66666666666667,0.0,0.0,43.0,23.88888888888889,76.11111111111111,1.0,0.5555555555555556,12.0,6.666666666666667,1.0,0.5555555555555556,0.0,0.0
03BNAJ11  ,443.0,48.53273137697517,51.46726862302483,6.0,4.0,2.0,1.3544018058690745,116.0,26.185101580135438,173.0,124.0,71.67630057803468,0.0,0.0,87.0,50.28901734104046,49.71098265895954,1.0,0.5780346820809248,6.0,3.4682080924855487,2.0,1.1560693641618496,7.0,4.046242774566474
03BNAJ12  ,481.0,49.064449064449065,50.935550935550935,2.0,1.0,1.0,0.4158004158004158,124.0,25.779625779625782,170.0,163.0,95.88235294117648,0.0,0.0,52.0,30.58823529411765,69.41176470588235,0.0,0.0,5.0,2.941176470588235,1.0,0.5882352941176471,0.0,0.0
03BNAJ13  ,404.0,43.81188118811881,56.188118811881196,0.0,0.0,0.0,0.0,91.0,22.524752475247524,177.0,42.0,23.728813559322035,0.0,0.0,93.0,52.54237288135594,47.45762711864406,0.0,0.0,1.0,0.5649717514124294,0.0,0.0,0.0,0.0
03BNAJ14  ,602.0,46.34551495016611,53.65448504983389,1.0,0.0,1.0,0.16611295681063123,144.0,23.920265780730897,217.0,103.0,47.465437788018434,0.0,0.0,97.0,44.70046082949309,55.29953917050691,1.0,0.4608294930875576,8.0,3.686635944700461,0.0,0.0,0.0,0.0
03BNAJ15  ,606.0,46.2046204620462,53.79537953795379,4.0,2.0,2.0,0.6600660066006601,148.0,24.422442244224424,206.0,195.0,94.66019417475728,0.0,0.0,64.0,31.06796116504854,68.93203883495146,1.0,0.48543689320388345,11.0,5.339805825242718,1.0,0.48543689320388345,0.0,0.0
03BNAJ16  ,418.0,48.5645933014354,51.43540669856459,4.0,1.0,3.0,0.9569377990430622,112.0,26.794258373205743,163.0,130.0,79.75460122699386,0.0,0.0,58.0,35.58282208588957,64.41717791411043,0.0,0.0,4.0,2.4539877300613497,6.0,3.6809815950920246,2.0,1.2269938650306749
03BNAJ17  ,516.0,48.25581395348838,51.74418604651163,0.0,0.0,0.0,0.0,116.0,22.48062015503876,219.0,13.0,5.93607305936073,0.0,0.0,144.0,65.75342465753424,34.24657534246576,0.0,0.0,4.0,1.82648401826484,0.0,0.0,0.0,0.0
03BNAJ18  ,713.0,46.14305750350631,53.85694249649369,1.0,0.0,1.0,0.1402524544179523,147.0,20.61711079943899,230.0,15.0,6.521739130434782,1.0,0.43478260869565216,138.0,60.0,40.0,4.0,1.7391304347826086,10.0,4.3478260869565215,1.0,0.43478260869565216,0.0,0.0
03BNAJ19  ,457.0,45.73304157549234,54.26695842450766,0.0,0.0,0.0,0.0,90.0,19.693654266958426,159.0,4.0,2.515723270440252,0.0,0.0,107.0,67.29559748427673,32.704402515723274,3.0,1.8867924528301887,11.0,6.918238993710692,0.0,0.0,0.0,0.0
03BNAJ20  ,521.0,43.953934740882914,56.046065259117086,0.0,0.0,0.0,0.0,107.0,20.537428023032632,216.0,10.0,4.62962962962963,0.0,0.0,167.0,77.31481481481481,22.68518518518519,2.0,0.9259259259259258,10.0,4.62962962962963,0.0,0.0,0.0,0.0
03BNAJ21  ,412.0,41.50485436893204,58.495145631067956,1.0,0.0,1.0,0.24271844660194172,76.0,18.446601941747574,176.0,7.0,3.977272727272727,1.0,0.5681818181818182,124.0,70.45454545454545,29.545454545454547,1.0,0.5681818181818182,8.0,4.545454545454546,1.0,0.5681818181818182,0.0,0.0
03BNAJ22  ,482.0,45.43568464730291,54.56431535269709,0.0,0.0,0.0,0.0,97.0,20.12448132780083,166.0,44.0,26.506024096385545,0.0,0.0,106.0,63.85542168674698,36.14457831325302,3.0,1.8072289156626504,5.0,3.0120481927710845,0.0,0.0,0.0,0.0
03BNAJ23  ,450.0,50.44444444444445,49.55555555555556,0.0,0.0,0.0,0.0,123.0,27.333333333333332,159.0,119.0,74.84276729559748,0.0,0.0,53.0,33.33333333333333,66.66666666666667,0.0,0.0,10.0,6.289308176100629,0.0,0.0,0.0,0.0
03BNAJ24  ,482.0,44.398340248962654,55.601659751037346,3.0,1.0,2.0,0.6224066390041494,107.0,22.199170124481327,193.0,5.0,2.5906735751295336,0.0,0.0,119.0,61.6580310880829,38.3419689119171,2.0,1.0362694300518136,6.0,3.1088082901554404,0.0,0.0,0.0,0.0
03BNAJ25  ,394.0,42.89340101522843,57.10659898477157,0.0,0.0,0.0,0.0,67.0,17.00507614213198,140.0,3.0,2.142857142857143,0.0,0.0,102.0,72.85714285714285,27.142857142857153,3.0,2.142857142857143,11.0,7.857142857142857,0.0,0.0,0.0,0.0
03BNAJ26  ,433.0,46.88221709006928,53.11778290993071,0.0,0.0,0.0,0.0,89.0,20.554272517321014,164.0,18.0,10.975609756097562,0.0,0.0,120.0,73.17073170731707,26.829268292682926,1.0,0.6097560975609756,5.0,3.048780487804878,1.0,0.6097560975609756,0.0,0.0
03BNAJ27  ,463.0,47.94816414686825,52.05183585313174,0.0,0.0,0.0,0.0,83.0,17.92656587473002,197.0,8.0,4.060913705583756,0.0,0.0,139.0,70.55837563451777,29.441624365482227,0.0,0.0,7.0,3.5532994923857872,0.0,0.0,0.0,0.0
03BNAJ28  ,583.0,49.056603773584904,50.943396226415096,0.0,0.0,0.0,0.0,127.0,21.783876500857634,182.0,45.0,24.725274725274726,0.0,0.0,94.0,51.64835164835166,48.35164835164834,3.0,1.6483516483516485,9.0,4.945054945054945,0.0,0.0,0.0,0.0
03BNAJ29  ,389.0,45.501285347043705,54.498714652956295,0.0,0.0,0.0,0.0,101.0,25.96401028277635,139.0,53.0,38.1294964028777,0.0,0.0,60.0,43.16546762589928,56.83453237410072,2.0,1.4388489208633095,2.0,1.4388489208633095,0.0,0.0,0.0,0.0
03BNAJ30  ,470.0,43.61702127659575,56.38297872340425,0.0,0.0,0.0,0.0,94.0,20.0,172.0,5.0,2.9069767441860463,0.0,0.0,118.0,68.6046511627907,31.395348837209298,1.0,0.5813953488372093,11.0,6.395348837209303,0.0,0.0,0.0,0.0
03BNAJ31  ,14.0,0.0,100.0,1.0,0.0,1.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03BNAK01  ,452.0,44.911504424778755,55.088495575221245,0.0,0.0,0.0,0.0,91.0,20.13274336283186,189.0,18.0,9.523809523809524,4.0,2.1164021164021163,139.0,73.54497354497354,26.455026455026456,0.0,0.0,11.0,5.82010582010582,2.0,1.0582010582010581,2.0,1.0582010582010581
03BNAK02  ,646.0,47.987616099071204,52.012383900928796,0.0,0.0,0.0,0.0,131.0,20.278637770897834,191.0,57.0,29.84293193717277,0.0,0.0,120.0,62.82722513089005,37.17277486910995,4.0,2.094240837696335,14.0,7.329842931937172,1.0,0.5235602094240838,0.0,0.0
03BNAK03  ,701.0,49.35805991440799,50.641940085592005,1.0,0.0,1.0,0.14265335235378032,186.0,26.533523537803138,225.0,189.0,84.0,0.0,0.0,75.0,33.33333333333333,66.66666666666667,1.0,0.4444444444444444,9.0,4.0,0.0,0.0,0.0,0.0
03BNAK04  ,445.0,46.741573033707866,53.25842696629214,0.0,0.0,0.0,0.0,117.0,26.29213483146067,167.0,83.0,49.700598802395206,1.0,0.5988023952095809,98.0,58.68263473053892,41.31736526946108,1.0,0.5988023952095809,3.0,1.7964071856287425,2.0,1.1976047904191618,0.0,0.0
03BNAK05  ,534.0,47.940074906367045,52.05992509363296,4.0,2.0,2.0,0.7490636704119851,136.0,25.468164794007492,191.0,31.0,16.230366492146597,0.0,0.0,121.0,63.35078534031413,36.64921465968587,2.0,1.0471204188481675,7.0,3.664921465968586,0.0,0.0,0.0,0.0
03BNAK06  ,504.0,49.007936507936506,50.99206349206349,0.0,0.0,0.0,0.0,107.0,21.23015873015873,196.0,39.0,19.897959183673468,0.0,0.0,121.0,61.73469387755102,38.26530612244898,0.0,0.0,3.0,1.530612244897959,0.0,0.0,0.0,0.0
03BNAK07  ,580.0,49.310344827586206,50.689655172413794,0.0,0.0,0.0,0.0,155.0,26.72413793103448,193.0,164.0,84.97409326424871,0.0,0.0,64.0,33.160621761658035,66.83937823834196,0.0,0.0,10.0,5.181347150259067,0.0,0.0,0.0,0.0
03BNAK08  ,571.0,43.43257443082312,56.56742556917689,1.0,0.0,1.0,0.17513134851138354,113.0,19.78984238178634,202.0,33.0,16.33663366336634,1.0,0.49504950495049505,127.0,62.87128712871287,37.12871287128713,1.0,0.49504950495049505,5.0,2.4752475247524752,2.0,0.9900990099009901,0.0,0.0
